iter	RMSE
205	775.8168411
206	773.6717822
207	767.4703332
208	765.3863688
209	763.4022389
210	761.5131129
211	755.3054715
212	753.472895
213	737.8342861
214	733.8208855
215	730.0585577
216	719.9222626
217	712.2547201
218	704.9928928
219	698.1094709
220	684.2939783
221	681.3811081
222	678.6071043
223	671.8345956
224	669.1656684
225	666.6236617
226	657.8318446
227	655.4642393
228	653.2090078
229	650.735091
230	637.6060407
231	635.5208662
232	622.5644332
233	620.5528082
234	618.6384452
235	616.1989249
236	605.1023674
237	602.6924013
238	597.5439669
239	592.6512867
240	586.482021
241	580.6828069
242	575.2304946
243	564.0361453
244	561.7499305
245	559.3889399
246	549.0601822
247	546.8617924
248	542.7759673
249	538.8839682
250	532.7546971
251	530.8119636
252	526.6686624
253	524.8258822
254	520.8853849
255	518.3417922
256	514.5976651
257	512.1829552
258	509.9070969
259	504.980378
260	503.4039578
261	501.9061762
262	497.4558571
263	496.0165899
264	492.4630419
265	491.0822442
266	489.7691568
267	486.3815308
268	478.3255209
269	477.0819568
270	475.8982076
271	474.7713497
272	467.466584
273	466.4062112
274	465.3963763
275	461.4152046
276	459.3065529
277	457.3295787
278	452.8034288
279	451.9130411
280	444.2051417
281	440.6154487
282	438.7504248
283	433.1477644
284	431.402186
285	429.7618294
286	428.219095
287	423.6289648
288	421.341576
289	419.9083793
290	414.0224152
291	408.8108097
292	406.9540086
293	402.4682543
294	401.2191552
295	399.955365
296	396.734031
297	392.6281297
298	391.5050118
299	388.510862
300	386.4165175
301	384.6671069
302	382.5286989
303	381.4848447
304	380.4972588
305	378.5209673
306	376.5422416
307	375.6285171
308	372.477788
309	369.2619996
310	366.2539761
311	364.6642913
312	363.3064324
313	361.4735766
314	360.2900895
315	359.0119136
316	350.8809064
317	349.7271305
318	348.5015598
319	347.4037343
320	346.0905231
321	339.5694281
322	336.5274602
323	335.6590278
324	334.759514
325	333.0059909
326	326.9747759
327	325.6583543
328	323.0233378
329	322.5576673
330	321.2809509
331	320.0427841
332	314.360426
333	311.9356779
334	310.1638973
335	308.4819608
336	306.8847501
337	304.7133839
338	302.641738
339	300.6651837
340	297.9354075
341	296.3292129
342	294.9613952
343	294.5272594
344	293.0084102
345	290.68722
346	288.8315278
347	287.0612254
348	285.6243757
349	285.0357224
350	282.5308007
351	282.1173355
352	279.7757026
353	276.3558216
354	274.6452754
355	273.0151088
356	268.4951627
357	267.1082173
358	266.7300278
359	265.8815119
360	265.081385
361	264.3301315
362	259.6179486
363	257.1076997
364	256.0736958
365	255.098525
366	253.4803615
367	249.6374654
368	248.4132153
369	247.2500695
370	246.7671483
371	244.6979943
372	242.3913185
373	241.6878168
374	239.4297504
375	237.326921
376	235.3339235
377	233.4167069
378	231.2502673
379	230.5370894
380	228.7589471
381	227.062878
382	226.0737645
383	224.1909149
384	223.3315648
385	221.806362
386	220.9854996
387	220.2738319
388	219.4906269
389	218.5109546
390	217.7642284
391	216.7955261
392	215.8562829
393	215.1386758
394	213.5876998
395	212.9142271
396	211.7025898
397	211.0191297
398	209.48654
399	208.8292777
400	207.3270704
401	206.697608
402	206.0737371
403	205.1596074
404	203.7430983
405	202.2458825
406	200.9087031
407	200.2945186
408	199.2583549
409	198.391355
410	196.9394167
411	195.69379
412	194.3810785
413	193.4288713
414	192.5954102
415	192.0218623
416	190.8804812
417	190.2805308
418	189.6939498
419	188.9078974
420	187.3604703
421	186.7888273
422	185.3315321
423	184.5791118
424	184.0173236
425	182.840748
426	182.3036338
427	180.9779379
428	179.3124117
429	178.7635717
430	178.0334881
431	177.4960369
432	176.610632
433	175.1944609
434	172.4663745
435	171.4238168
436	170.308435
437	169.523904
438	168.7846628
439	168.0078757
440	167.5106225
441	166.7782955
442	166.3274889
443	165.2242593
444	164.3631534
445	162.9467412
446	162.5451586
447	160.1192177
448	159.0884862
449	158.2973564
450	155.6236442
451	155.4166145
452	154.2891938
453	151.8338425
454	151.1760324
455	150.7711657
456	148.5907818
457	148.2075427
458	147.6335625
459	147.2703599
460	145.2319946
461	144.5269458
462	143.2890979
463	141.969417
464	141.6382789
465	140.9613874
466	140.6665152
467	138.7504254
468	138.556087
469	137.2516423
470	136.6105733
471	135.495693
472	134.3637448
473	132.8794646
474	131.8950358
475	131.2688222
476	129.5105681
477	128.9123073
478	128.6255784
479	127.2900009
480	125.866286
481	125.6016381
482	124.3887788
483	124.2122469
484	123.4828922
485	122.7906943
486	121.9077882
487	120.9207698
488	120.3055651
489	119.7388429
490	119.1790499
491	117.3020287
492	116.4874056
493	115.9708679
494	115.1431151
495	114.3719186
496	114.2059657
497	113.4818469
498	113.1794567
499	111.4902109
500	109.7804532
501	108.8934937
502	108.6178534
503	107.7981403
504	107.6391078
505	107.1487493
506	106.3890218
507	105.068958
508	102.9550497
509	102.3667244
510	101.9321968
511	101.5215245
512	101.3692946
513	99.41392535
514	98.66562333
515	98.2843449
516	97.65721042
517	95.99096127
518	95.64327893
519	94.8671476
520	93.2570752
521	92.62104402
522	92.04081786
523	91.28535972
524	90.87753
525	89.3401774
526	88.62199506
527	87.09177428
528	86.6964013
529	86.02201781
530	85.64942157
531	84.28167187
532	83.87226938
533	83.63900714
534	83.05336833
535	82.8559569
536	82.15125939
537	81.03883342
538	80.81990733
539	80.61786518
540	80.31892262
541	79.289166
542	78.88305745
543	78.73823633
544	78.47879674
545	77.91948343
546	77.65274359
547	76.42629144
548	75.62386852
549	75.20981687
550	74.82015273
551	74.07290386
552	72.97675578
553	72.03636223
554	71.91217228
555	71.54081221
556	71.17943761
557	70.68412069
558	69.96727101
559	69.59479624
560	69.21667936
561	68.22523501
562	67.92830963
563	67.28353484
564	66.998556
565	66.34931836
566	66.01622128
567	65.03195458
568	64.72690722
569	64.43582605
570	63.71651219
571	63.44172103
572	62.95738947
573	62.50752785
574	62.32758651
575	62.02043713
576	61.72771179
577	61.56047161
578	61.1064963
579	60.83953267
580	60.68530432
581	60.11249597
582	59.44555359
583	59.20695326
584	58.93214851
585	58.70425754
586	58.19421571
587	57.97485195
588	57.7660957
589	57.62093727
590	57.35362185
591	57.15292587
592	56.89761
593	56.70586126
594	56.29370584
595	55.79523158
596	55.54722813
597	55.36070949
598	55.12368007
599	54.76525216
600	53.84341762
601	53.67060278
602	53.50617066
603	52.71942682
604	52.30792774
605	51.84218377
606	51.72702937
607	51.08542369
608	50.58549916
609	50.15046623
610	49.95496456
611	49.84539444
612	49.43786577
613	49.25627308
614	48.44713281
615	47.84107992
616	47.62805021
617	47.47254139
618	47.18225744
619	46.83046975
620	46.27660981
621	45.99758386
622	45.89961926
623	45.63645683
624	45.4284404
625	45.09222749
626	44.92589993
627	44.49188106
628	44.40506611
629	44.23137147
630	44.09196313
631	43.92606705
632	43.62673999
633	43.3818925
634	42.89199493
635	42.80861705
636	42.49471478
637	42.34436412
638	42.15667225
639	42.01314947
640	41.88620736
641	41.65912205
642	41.11476515
643	40.50662428
644	40.37065341
645	40.24253538
646	40.04288919
647	39.78609261
648	39.56316955
649	39.06148714
650	38.58708978
651	38.23762706
652	37.53819214
653	37.10018546
654	36.46187731
655	36.05903841
656	35.47692317
657	35.25652843
658	34.71619472
659	34.51385037
660	34.15022023
661	33.95691496
662	33.45730457
663	33.27376369
664	33.09078971
665	32.92226875
666	32.58182675
667	32.12622553
668	31.62749004
669	31.18205679
670	30.73054322
671	30.36638125
672	29.98398816
673	29.80695887
674	29.21387517
675	28.82419558
676	28.52099214
677	28.25777494
678	28.09059265
679	27.91053132
680	27.5967711
681	27.16443988
682	26.92725985
683	26.75821221
684	26.59636078
685	26.44338155
686	26.29870882
687	26.07793773
688	25.94005513
689	25.80948267
690	25.68578138
691	25.41117119
692	25.09449806
693	24.87951099
694	24.40409887
695	24.19673749
696	23.81624096
697	23.67970815
698	23.48003176
699	23.29504211
700	23.16521975
701	23.04438037
702	22.92986687
703	22.82130462
704	22.62265931
705	22.44379504
706	22.1267635
707	21.96248104
708	21.80636468
709	21.70000641
710	21.59929897
711	21.15758434
712	20.90367021
713	20.52052797
714	20.13494924
715	19.78757005
716	19.43954254
717	19.11684948
718	19.00100299
719	18.78278548
720	18.47311269
721	18.17913654
722	17.89811002
723	17.70370155
724	17.56840605
725	17.44309399
726	17.32693868
727	17.20333072
728	17.0604117
729	16.88650512
730	16.77997738
731	16.60130802
732	16.49578452
733	16.36233284
734	16.26027938
735	16.0786214
736	15.97706842
737	15.86318871
738	15.76769128
739	15.67726666
740	15.54676944
741	15.46022678
742	15.34989132
743	15.20459152
744	15.10400531
745	14.99848865
746	14.9041239
747	14.81238739
748	14.5608231
749	14.45853193
750	14.36069877
751	14.19506648
752	13.96511989
753	13.8431224
754	13.64210967
755	13.56091771
756	13.47050448
757	13.39073076
758	13.31520681
759	13.24366984
760	13.15673828
761	13.08480365
762	12.99274172
763	12.92522373
764	12.8188206
765	12.72924869
766	12.62671874
767	12.4247071
768	12.36112876
769	12.29192613
770	12.22065417
771	12.14244373
772	12.07977539
773	12.01495191
774	11.95769661
775	11.8961967
776	11.84154865
777	11.69399065
778	11.63899622
779	11.52989095
780	11.47715917
781	11.40816113
782	11.35765658
783	11.27979074
784	11.17630795
785	11.12743756
786	11.08081025
787	11.00734498
788	10.88450832
789	10.81523255
790	10.79520022
791	10.71219957
792	10.63746151
793	10.57128465
794	10.52299712
795	10.46041574
796	10.4418365
797	10.39641067
798	10.33699456
799	10.18944299
800	10.0914622
801	10.03304408
802	9.989986787
803	9.934831352
804	9.893542813
805	9.841405392
806	9.801809559
807	9.743352604
808	9.705364546
809	9.657049327
810	9.50239648
811	9.485042901
812	9.434689816
813	9.374066568
814	9.270982616
815	9.216017066
816	9.171264831
817	9.071306684
818	9.015112938
819	8.999533636
820	8.947988959
821	8.933629518
822	8.789970213
823	8.745521715
824	8.703515559
825	8.655004247
826	8.610366718
827	8.570095701
828	8.524599877
829	8.481969626
830	8.442252497
831	8.403202843
832	8.359981084
833	8.324439809
834	8.297802936
835	8.260285466
836	8.204106903
837	8.150547979
838	8.099484277
839	8.065897934
840	8.017940273
841	7.972162791
842	7.940418856
843	7.896592201
844	7.854752799
845	7.803209667
846	7.754687764
847	7.713573527
848	7.685041131
849	7.639849029
850	7.628273226
851	7.585640537
852	7.525889899
853	7.501742106
854	7.465346914
855	7.418736309
856	7.390351272
857	7.354265024
858	7.222047733
859	7.186993792
860	7.165546779
861	7.140777269
862	7.10753
863	7.064830925
864	7.040832988
865	6.918639933
866	6.886836017
867	6.783080441
868	6.758627928
869	6.717920018
870	6.688578888
871	6.666240493
872	6.554383457
873	6.524117788
874	6.494916283
875	6.474044412
876	6.373424557
877	6.330692342
878	6.231912726
879	6.204479279
880	6.165060269
881	6.077152114
882	6.038618372
883	5.945883645
884	5.921119698
885	5.884666538
886	5.870519467
887	5.783881208
888	5.760983873
889	5.747519096
890	5.715613575
891	5.691464858
892	5.680446048
893	5.644188431
894	5.631998876
895	5.597204936
896	5.517661926
897	5.48363269
898	5.452006088
899	5.375543539
900	5.356956467
901	5.342961551
902	5.270976268
903	5.247004617
904	5.178958552
905	5.127720013
906	5.103847038
907	5.072108179
908	4.999881256
909	4.97125266
910	4.911138639
911	4.849631013
912	4.831384306
913	4.776930466
914	4.72078418
915	4.703711757
916	4.654330718
917	4.641174863
918	4.580598326
919	4.518945111
920	4.491464921
921	4.465649907
922	4.441379904
923	4.41854511
924	4.352338404
925	4.329275783
926	4.288261656
927	4.265141046
928	4.210344587
929	4.159248044
930	4.120889856
931	4.100859316
932	4.05339354
933	4.009126233
934	3.950344882
935	3.914735412
936	3.896259331
937	3.846069566
938	3.831679978
939	3.809550898
940	3.792436168
941	3.752135998
942	3.711592806
943	3.671985475
944	3.643749648
945	3.623163731
946	3.603742489
947	3.587693963
948	3.569263302
949	3.550683971
950	3.512027052
951	3.494327138
952	3.476395926
953	3.439991445
954	3.423004674
955	3.405628595
956	3.389931527
957	3.35562412
958	3.31269665
959	3.270926716
960	3.210152615
961	3.180704558
962	3.145540199
963	3.128260549
964	3.111906906
965	3.096423179
966	3.053409958
967	3.03898464
968	3.025347785
969	2.997030166
970	2.981824533
971	2.959583477
972	2.944692658
973	2.90940285
974	2.880305165
975	2.859444982
976	2.840170967
977	2.826144522
978	2.812879733
979	2.786473857
980	2.773240873
981	2.748603687
982	2.730912877
983	2.682967307
984	2.667025346
985	2.651371709
986	2.638856745
987	2.624196263
988	2.595062847
989	2.571477545
990	2.553059953
991	2.530688442
992	2.516780222
993	2.496148389
994	2.479056037
995	2.459185489
996	2.450126629
997	2.433913413
998	2.406998061
999	2.38990878
